id,age,gender,income,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount,Cluster
1,38,0,99342,90,3,24,2,113.53,3
2,21,0,78852,60,2,42,4,41.93,3
3,60,0,126573,30,2,28,0,424.36,1
4,40,2,47099,74,9,5,3,991.93,0
5,65,0,140621,21,3,25,1,347.08,1
6,31,2,57305,24,3,30,3,86.85,1
7,19,2,54319,68,5,43,0,191.72,3
8,43,1,108115,94,9,27,2,734.56,2
9,53,1,34424,29,6,7,4,951.71,0
10,55,0,45839,55,7,2,1,821.18,0
11,23,2,69659,16,7,24,0,434.97,1
12,68,2,30058,91,1,49,2,889.94,0
13,29,0,87461,81,3,27,3,101.07,3
14,64,2,33018,46,4,3,4,221.35,3
15,33,1,112260,17,5,8,3,915.89,0
16,53,1,129284,17,6,26,0,225.4,1
17,57,1,102535,29,5,13,0,378.47,1
18,22,1,41849,22,1,31,4,844.08,0
19,37,1,95491,90,6,21,3,454.83,3
20,31,1,97103,70,3,17,2,61.3,1
21,19,0,82519,13,4,4,3,742.39,0
22,22,1,49077,74,10,47,3,799.31,2
23,36,2,85473,68,1,16,4,806.55,0
24,41,2,81758,87,7,9,0,482.2,3
25,69,0,36140,78,5,39,4,508.86,3
26,33,2,141757,60,10,39,2,83.27,1
27,54,1,35394,10,9,4,2,124.29,3
28,30,0,50680,19,7,27,4,515.88,0
29,18,0,70721,78,7,1,3,191.9,3
30,23,1,104106,30,4,20,1,950.56,0
31,36,2,76756,16,8,27,0,970.06,0
32,60,0,45733,69,2,18,1,197.29,3
33,29,1,71951,2,6,47,1,91.94,1
34,44,2,86593,89,4,37,2,76.95,3
35,45,2,43138,54,10,48,4,639.22,3
36,30,0,73464,37,1,6,0,532.51,0
37,47,1,108074,78,4,38,1,128.2,1
38,48,2,81794,89,7,50,1,967.99,2
39,31,0,75392,43,4,29,4,88.44,1
40,22,1,107057,14,5,41,3,98.86,1
41,23,1,70723,31,1,48,3,713.33,0
42,52,1,115529,70,2,34,0,192.66,1
43,35,1,72179,6,6,45,3,165.18,1
44,28,2,62405,79,5,50,3,956.73,2
45,50,1,42404,45,4,31,3,753.6,0
46,49,2,94531,28,5,42,0,214.93,1
47,56,1,129005,40,6,8,1,355.34,1
48,48,1,76317,94,9,3,1,189.28,3
49,19,2,85309,65,5,10,4,28.55,3
50,68,0,146519,96,2,18,2,673.79,2
51,61,0,61290,83,9,35,0,110.32,3
52,24,0,96082,83,4,36,4,589.35,2
53,45,2,134241,73,9,16,2,893.44,2
54,33,0,45136,84,9,38,3,332.34,3
55,56,0,85476,55,2,41,4,774.5,0
56,42,2,73466,50,4,13,4,903.07,0
57,63,2,49607,7,9,20,1,195.34,1
58,49,0,112198,48,5,24,4,843.87,2
59,43,0,81595,12,7,1,1,806.26,0
60,21,0,139387,1,5,7,0,399.58,1
61,23,1,69133,14,6,7,2,224.86,1
62,30,2,89149,87,10,36,0,174.41,3
63,49,0,79992,49,8,6,4,636.65,0
64,50,0,85111,31,1,19,1,319.05,1
65,27,2,90557,36,2,2,4,494.55,1
66,32,1,100270,69,3,29,3,686.05,2
67,36,0,127346,75,5,7,1,335.98,1
68,43,0,87807,52,9,41,0,95.08,1
69,32,1,135861,88,5,16,1,103.33,1
70,49,2,40936,32,9,49,4,495.62,0
71,23,0,66376,60,1,18,1,77.73,3
72,58,2,56120,30,3,50,2,880.23,0
73,31,0,112452,21,1,5,2,552.21,1
74,38,0,102944,63,8,9,3,92.69,1
75,58,2,143037,56,8,42,2,57.57,1
76,60,0,131101,68,8,28,3,522.95,2
77,49,1,30708,4,1,36,2,990.0,0
78,32,2,44048,20,7,10,0,41.55,3
79,30,2,95501,27,3,14,2,476.25,1
80,68,2,45092,54,4,40,1,738.6,0
81,65,2,117157,90,9,39,1,812.36,2
82,36,0,148542,60,1,17,2,15.66,1
83,36,0,99427,94,8,15,4,265.04,3
84,56,1,58971,77,9,35,1,13.16,3
85,19,1,101100,43,3,14,0,392.36,1
86,31,2,61849,24,6,31,3,120.8,1
87,59,1,47990,3,10,48,3,755.92,0
88,31,1,55100,20,7,31,4,59.84,1
89,18,2,105470,8,7,4,0,746.18,0
90,45,2,63381,80,4,8,3,754.24,3
91,32,2,92089,16,1,47,3,209.86,1
92,39,2,104031,67,6,28,3,930.36,2
93,65,1,62792,83,8,11,1,230.58,3
94,46,2,113116,7,10,13,0,190.55,1
95,30,2,75926,97,10,19,4,670.87,3
96,23,1,108480,46,10,21,0,377.31,1
97,63,2,102834,31,7,20,1,582.57,0
98,49,1,46695,99,9,26,0,674.7,3
99,21,2,105024,45,3,32,4,795.84,2
100,26,0,59496,58,2,50,0,23.33,3
101,40,0,115569,1,2,5,2,241.91,1
102,18,1,49346,70,7,38,2,127.14,3
103,19,1,75430,50,7,32,0,532.51,3
104,60,0,142407,4,2,1,4,29.58,1
105,20,2,34982,7,2,45,0,597.15,0
106,55,0,147187,37,7,27,1,941.67,2
107,19,2,37993,59,6,30,4,873.8,0
108,65,1,81753,72,9,21,3,633.63,2
109,57,0,81695,90,8,44,1,179.8,3
110,56,0,40676,86,7,38,3,627.65,3
111,37,1,111242,33,5,34,4,756.32,2
112,64,1,87006,85,7,20,0,930.73,2
113,58,1,82856,33,7,20,2,450.72,0
114,32,1,35514,4,5,36,4,415.44,0
115,64,1,87595,11,5,21,1,69.78,1
116,59,1,125014,89,7,42,3,451.82,2
117,62,1,128322,44,4,31,1,668.91,2
118,62,1,48693,36,9,44,3,755.67,0
119,33,1,113154,75,8,46,2,895.58,2
120,68,0,78309,12,2,49,0,848.14,0
121,47,0,112072,50,5,21,2,884.19,2
122,43,1,42855,66,6,23,1,138.51,3
123,26,2,55515,29,9,37,4,50.57,3
124,30,1,51454,94,8,17,3,553.35,3
125,66,2,69362,58,1,23,0,960.08,0
126,26,0,69795,60,9,29,1,389.37,3
127,58,1,32860,90,5,18,4,405.05,3
128,40,2,81037,70,10,45,1,370.75,3
129,67,2,40385,64,1,17,4,957.06,0
130,61,0,131607,25,7,26,0,714.15,2
131,51,1,42337,70,9,28,4,914.97,0
132,67,0,116124,78,10,28,3,11.29,1
133,25,2,94016,85,8,49,2,764.28,2
